location,lats,longs
تهران،تهران،پیامبر مرکزی,51.3176004,35.737645
تهران،تهران،صادقیه,51.331274,35.7179872
تهران،تهران،کوهستان,51.5197273,35.7597032
تهران،تهران،جی – شبیری,51.35541289117808,35.6725641
تهران،تهران،یخسازی,51.144040106924905,35.51092935757792
تهران،تهران،افسریه,51.4890325,35.657727
تهران،تهران،شهرک اکباتان,51.3056201,35.7069661
تهران،تهران،مدرس,51.2651906,35.6629882
تهران،تهران،جاده انزلی,50.64957254811024,35.99832707138943
تهران،تهران،شهید رجایی,51.3293646,35.6327794
تهران،تهران،شهریار,51.0777302,35.692799
تهران،تهران،فرگاز(کرج),50.9885294431278,35.756199735302026
تهران،تهران،استاد معین,51.3447089,35.7001565
البرز،کرج،کوی مدرس(کرج),50.9948069,35.8391639
تهران،تهران،درختی(کرج),50.94179745620106,35.81913918082045
البرز،کرج،چیتگر,51.14933429021871,35.723800490850785
البرز،کرج،کمالشهر(کرج),50.8842007,35.8808967
البرز،کرج،واریان شهر(کرج),50.97118669054496,35.77185802139998
تهران،تهران،ملارد(کرج),50.7877446,35.7021892
تهران،تهران،شهرک آپادانا,51.3245926,35.7115372
تهران،تهران،بهارستان,51.4331713,35.6923351
تهران،تهران،دزاشیب  -  جوزستان,51.45666559903497,35.80730891794144
تهران،تهران،خیابان سپاه,51.861336,35.7360394
تهران،تهران،خیابان آفریقا,51.4234084,35.7826434
تهران،تهران،هنگام,51.4911952,35.7392606
تهران،تهران،باغ صبا  -  سهروردی,51.4340906,35.7187018
تهران،تهران،سایر,51.20308054299166,35.65450000126093
تهران،تهران،نارمک,51.5041892,35.7363694
البرز،کرج،جمهوری(کرج),50.979313753783096,35.83384210933756
تهران،تهران،کوی انقلاب (منطقه3),51.25182244424656,35.69151986312414
تهران،تهران،قائم مقام  -  سنائی,51.4214346,35.719879
تهران،تهران،اتحاد(کرج),50.97340055810474,35.83784885
تهران،تهران،قصردشت,51.37031716435053,35.689131920547354
تهران،تهران،شهریار(کرج),51.0343695,35.7264131
البرز،کرج،جاده مخصوص کرج,51.0214128,35.7868139
تهران،تهران،شهید دستغیب,51.0831464,35.572553
تهران،تهران،آنلاین,51.4288343,35.7032048
تهران،تهران،جوانمرد قصاب,51.4194222,35.6100156
