,0
البرز،کرج،مارلیک(کرج),19
تهران،تهران،نیایش,19
تهران،تهران،قلعه حسن خان,19
اصفهان،اصفهان،بهارستان (حومه),19
البرز،کرج،شهرک وحدت(کرج),18
تهران،تهران،جماران,18
خراسان رضوی،مشهد،جانباز,18
تهران،تهران،ملارد,18
خراسان رضوی،مشهد،امامت,18
خراسان رضوی،مشهد،رضا‌شهر,18
آذربایجان شرقی،تبریز،باغمیشه,18
خراسان رضوی،مشهد،بلوار ایرج میرزا,18
تهران،تهران،شوش,18
البرز،کرج،بلوار شهرداری(کرج),18
تهران،تهران،خرمشهر,18
تهران،تهران،ده ونک,18
تهران،تهران،صفا,18
خراسان رضوی،مشهد،فکوری,18
گلستان،گرگان،راه آهن,17
تهران،تهران،تسلیحات,17
تهران،تهران،ارتش,17
خراسان رضوی،مشهد،کوهسنگی,17
خراسان رضوی،مشهد،دانشجو,17
اصفهان،اصفهان،سه‌راه سیمین,17
تهران،تهران،بهبودی,17
البرز،کرج،حصارک(کرج),17
فارس،شیراز،بلوار مدرس,17
آذربایجان شرقی،تبریز،ائل گلی,17
فارس،شیراز،صدرا فاز یک,17
تهران،تهران،دستگردی,16
آذربایجان شرقی،تبریز،ابوریحان,16
تهران،تهران،یاخچی آباد,16
البرز،کرج،مصباح(کرج),16
تهران،تهران،پل چوبی,16
خراسان رضوی،مشهد،سرافرازان,16
تهران،تهران،میدان دانشگاه,16
تهران،تهران،بلوار پاکنژاد,16
خوزستان،اهواز،کیانپارس شرقی,15
تهران،تهران،امامت,15
تهران،تهران،گوهردشت(کرج),15
خوزستان،اهواز،کیانپارس غربی,15
تهران،تهران،شکوفه,15
تهران،تهران،دزاشیب  -  جوزستان,15
خراسان رضوی،مشهد،مصلی,15
تهران،تهران،وزرا,15
بوشهر،بوشهر،باغ زهرا,15
فارس،شیراز،شهرک الهیه غرب,15
آذربایجان شرقی،تبریز،یاغچیان,15
خراسان رضوی،مشهد،ابوطالب,15
خراسان رضوی،مشهد،هدایت,15
خوزستان،اهواز،فاز 1 و 2 کوروش,15
اصفهان،اصفهان،چهار باغ بالا,15
اصفهان،اصفهان،هزارجریب,14
البرز،کرج،کلاک(کرج),14
تهران،تهران،پاتریس لومومبا,14
تهران،تهران،کمالشهر(کرج),14
کرمان،کرمان،بلوار جمهوری اسلامی,14
اصفهان،اصفهان،بلوار کشاورز,14
اصفهان،اصفهان،آتشگاه,14
خراسان رضوی،مشهد،هنرستان,14
تهران،تهران،سایر مناطق (خارج شهر),14
تهران،تهران،شهرک شهید باقری,14
فارس،شیراز،سایر مناطق (داخل شهر),14
تهران،تهران،فردوسی,14
آذربایجان شرقی،تبریز،رشدیه,14
خراسان رضوی،مشهد،عبادی,14
تهران،تهران،جوانمرد قصاب,13
تهران،تهران،خیابان مرتضوی,13
فارس،شیراز،قدوسی غربی,13
تهران،تهران،خواجه نصیر  -  حقوقی,13
خراسان رضوی،مشهد،رسالت,13
فارس،شیراز،والفجر,13
تهران،تهران،شهرک شریعتی,13
تهران،تهران،رباطکریم,13
اصفهان،اصفهان،شیخ صدوق,13
تهران،تهران،بزرگراه یادگار امام جنوب,13
تهران،تهران،لاله زار,13
خراسان رضوی،مشهد،کلاهدوز,13
تهران،تهران،فدک,13
تهران،تهران،شهید رجایی,13
اصفهان،اصفهان،خاقانی,13
البرز،کرج،طالقانی(کرج),12
تهران،تهران،ویلا,12
قم،قم،آزادگان,12
تهران،تهران،دکتر هوشیار,12
خوزستان،اهواز،کیان آباد,12
تهران،تهران،آزادگان,12
تهران،تهران،شمشیری,12
خراسان رضوی،مشهد،عبدالمطلب,12
تهران،تهران،امامزاده عبدالله,12
تهران،تهران،تهرانپارس,12
خراسان رضوی،مشهد،طبرسی,12
تهران،تهران،آشتیانی,12
خوزستان،اهواز،گلستان جنوبی,12
تهران،تهران،شهید دستغیب,12
فارس،شیراز،میانرود,11
خراسان رضوی،مشهد،امام خمینی,11
آذربایجان شرقی،تبریز،نصف راه,11
البرز،کرج،حسین آباد(کرج),11
قم،قم،بنیاد,11
البرز،کرج،شهر جدید اندیشه(کرج),11
تهران،تهران،امامزاده قاسم,11
اصفهان،اصفهان،کوی ولی عصر,11
تهران،تهران،دانشگاه تهران,11
تهران،تهران،نعمت آباد,11
تهران،تهران،شمیران نو,11
اصفهان،اصفهان،مشتاق,11
خوزستان،اهواز،گلستان شمالی,11
تهران،تهران،دولاب,11
تهران،تهران،نصرت,11
خراسان رضوی،مشهد،امام رضا,11
تهران،تهران،فردیس(کرج),11
تهران،تهران،تختی,11
خراسان رضوی،مشهد،سناباد,11
اصفهان،اصفهان،سپاهان‌شهر (حومه),11
تهران،تهران،میدان الغدیر,11
اصفهان،اصفهان،حکم آباد,11
تهران،تهران،پردیسان,10
خراسان رضوی،مشهد،فلسطین,10
آذربایجان شرقی،تبریز،منظریه,10
البرز،کرج،هفت تیر(کرج),10
خراسان رضوی،مشهد،مطهری شمالی,10
فارس،شیراز،صنایع (میرزای شیرازی),10
خوزستان،اهواز،فاز 3 کوروش,10
اصفهان،اصفهان،احمدآباد,10
فارس،شیراز،چمران,10
کردستان،سنندج،شالمان,10
تهران،تهران،برق آلستوم,10
فارس،شیراز،ابیوردی,10
اصفهان،اصفهان،قائمیه,10
تهران،تهران،زنجان,10
تهران،تهران،اتابک,10
خراسان رضوی،مشهد،راهنمایی,10
تهران،تهران،بلوار پروین,10
فارس،شیراز،فلکه گاز (آزادی),10
اصفهان،اصفهان،میر,10
تهران،تهران،مرتضوی,9
تهران،تهران،جاده قدیم کرج,9
خراسان رضوی،مشهد،میدان شهدا,9
تهران،تهران،خیابان آرژانتین,9
تهران،تهران،انبارنفت,9
تهران،تهران،لشکر,9
فارس،شیراز،باهنر جنوبی,9
البرز،کرج،کوی کارمندان جنوبی(کرج),9
تهران،تهران،متل قو,9
تهران،تهران،میدان نبوت(کرج),9
تهران،تهران،جهانشهر(کرج),9
فارس،شیراز،ادبیات,9
تهران،تهران،ادبیات,9
خراسان رضوی،مشهد،آزاد شهر,9
فارس،شیراز،زرگری,9
فارس،شیراز،همت (شمالی),9
خراسان رضوی،مشهد،کوثر,9
فارس،شیراز،شهرک فرهنگیان,9
اصفهان،اصفهان،طوقچی  ( میدان قدس),9
تهران،تهران،میدان قدس,9
قم،قم،دورشهر,9
البرز،کرج،ملارد(کرج),9
اصفهان،اصفهان،نظر,9
فارس،شیراز،ستارخان,9
فارس،شیراز،جمهوری,9
البرز،کرج،ماهدشت(کرج),9
فارس،شیراز،بلوار رحمت,9
اصفهان،اصفهان،فروغی,9
آذربایجان شرقی،تبریز،آبرسان,9
تهران،تهران،ارامنه,9
تهران،تهران،کیانمهر(کرج),9
آذربایجان شرقی،تبریز،خیابان امام,9
تهران،تهران،فداییان اسلام,9
تهران،تهران،بخارست,9
فارس،شیراز،شهرک بهشتی,9
اصفهان،اصفهان،خواجو,8
قم،قم،انسجام,8
اصفهان،اصفهان،وحید,8
کرمانشاه،کرمانشاه،بیست و دو بهمن,8
البرز،کرج،درختی(کرج),8
فارس،شیراز،شهرک گلستان,8
فارس،شیراز،کلبه,8
اصفهان،اصفهان،هشت‌بهشت,8
آذربایجان شرقی،تبریز،گلشهر,8
اصفهان،اصفهان،آبشار,8
گیلان،رشت،منظریه,8
تهران،تهران،مصلی امام خمینی,8
البرز،کرج،ونک,8
تهران،تهران،زمزم,8
قم،قم،بلوار 15 خرداد,8
تهران،تهران،راه آهن,8
البرز،کرج،جهان نما(کرج),8
خراسان رضوی،مشهد،موسوی قوچانی,8
قم،قم،سالاریه,8
قم،قم،باجک (19 دی),8
تهران،تهران،حسینی  -  فردوس,8
البرز،کرج،شهرک اوج(کرج),8
البرز،کرج،میدان نبوت(کرج),8
اصفهان،اصفهان،برازنده,8
اصفهان،اصفهان،جابرانصاری,7
خوزستان،اهواز،پادادشهر,7
فارس،شیراز،احسان,7
تهران،تهران،هلال احمر,7
خراسان رضوی،مشهد،دانش‌آموز,7
کردستان،سنندج،بلوار شبلی,7
فارس،شیراز،گلدشت حافظ,7
یزد،یزد،پاک نژاد,7
تهران،تهران،میدان امام خمینی,7
تهران،تهران،عظیمیه(کرج),7
تهران،تهران،باغستان(کرج),7
فارس،شیراز،ارتش,7
اصفهان،اصفهان،خمینی‌شهر,7
خراسان رضوی،مشهد،سید‌رضی,7
فارس،شیراز،سفیرجنوبی,7
قم،قم،بلوار امین,7
یزد،یزد،صفائیه,7
قم،قم،آذر,7
تهران،تهران،نبی اکرم,7
قم،قم،صفاشهر,7
اصفهان،اصفهان،بلوار شفق,7
اصفهان،اصفهان،شهرک امیریه,7
تهران،تهران،مخصوص,7
آذربایجان شرقی،تبریز،کوی لاله,7
تهران،تهران،یخسازی,7
قم،قم،صفائیه,7
خراسان رضوی،مشهد،نماز,7
فارس،شیراز،پاسارگاد,7
فارس،شیراز،شهرک بزین,7
آذربایجان شرقی،تبریز،شهرک پرواز,7
اصفهان،اصفهان،فردوسی,7
تهران،تهران،مالک اشتر,7
اصفهان،اصفهان،چهارباغ پایین,7
تهران،تهران،شهرک مخابرات,7
فارس،شیراز،شیراز,7
تهران،تهران،گوهر شاد,7
قم،قم،عماریاسر,7
اصفهان،اصفهان،چمران,7
قم،قم،سمیه,6
قم،قم،جمهوری,6
گیلان،رشت،دروازه لاکان,6
اصفهان،اصفهان،سجاد,6
آذربایجان شرقی،تبریز،17 شهریور,6
خراسان رضوی،مشهد،کوی مهدی,6
تهران،تهران،وکیل آباد,6
البرز،کرج،شهرک اندیشه فاز 3(کرج),6
خوزستان،اهواز،کیانشهر,6
آذربایجان شرقی،تبریز،فرشته,6
خوزستان،اهواز،باهنر,6
تهران،تهران،خیابان سپاه,6
اصفهان،اصفهان،سروش,6
تهران،تهران،گرمدره(کرج),6
اصفهان،اصفهان،دروازه تهران,6
فارس،شیراز،اطلسی,6
گیلان،رشت،قلی پور,6
تهران،تهران،فرودگاه,6
فارس،شیراز،میدان معلم,6
آذربایجان شرقی،تبریز،بزرگراه آزادی,6
تهران،تهران،تولید دارو,6
البرز،کرج،تهرانسر,6
تهران،تهران،زرکش,6
فارس،شیراز،پارامونت,6
فارس،شیراز،استقلال,6
البرز،کرج،کوی کارمندان شمالی(کرج),6
آذربایجان شرقی،تبریز،ولیعصر جنوبی,6
البرز،کرج،شهرک فهمیده(کرج),6
کرمان،کرمان،بلوار جهاد,6
خراسان رضوی،مشهد،بلوار فردوسی,6
خراسان رضوی،مشهد،لادن,6
فارس،شیراز،صدرا فاز دو,6
اصفهان،اصفهان،مسجد سیّد,6
قم،قم،هنرستان,6
خراسان رضوی،مشهد،جاده شاندیز (حومه),6
فارس،شیراز،فرصت شیرازی,6
آذربایجان شرقی،تبریز،زعفرانیه,6
اصفهان،اصفهان،سپاهان شهر,6
تهران،تهران،جمالزاده  -  حشمت الدوله,6
کردستان،سنندج،میدان جهاد,6
فارس،شیراز،نصر,6
قم،قم،کلهری,6
اصفهان،اصفهان،علامه امینی,5
تهران،تهران،هفت چنار,5
تهران،تهران،صفائیه,5
اصفهان،اصفهان،باغ دریاچه,5
گیلان،رشت،رشتیان,5
کردستان،سنندج،مبارک آباد,5
تهران،تهران،شیخ فضل الله,5
قم،قم،امام,5
اصفهان،اصفهان،شهرک شهید کشوری,5
البرز،کرج،مشکین دشت(کرج),5
اصفهان،اصفهان،ناژوان,5
خراسان رضوی،مشهد،گوهر شاد,5
تهران،تهران،تاکسیرانی,5
خوزستان،اهواز،کوی سپیدار,5
تهران،تهران،شاهین ویلا(کرج),5
فارس،شیراز،زند,5
یزد،یزد،آیت الله کاشانی,5
خراسان رضوی،مشهد،جاده طرقبه (حومه),5
اصفهان،اصفهان،عباس‌آباد,5
تهران،تهران،شهرک صنعتی شریف,5
آذربایجان شرقی،تبریز،کوی استانداری,5
فارس،شیراز،گلدشت معالی آباد,5
فارس،شیراز،هفت تنان,5
اصفهان،اصفهان،رهنان,5
تهران،تهران،امام خمینی,5
گیلان،رشت،شهید انصاری,5
تهران،تهران،کلاهدوز,5
البرز،کرج،کارخانه قند(کرج),5
تهران،تهران،امام علی,5
تهران،تهران،شیراز,5
خوزستان،اهواز،مفتح,5
آذربایجان شرقی،تبریز،رسالت غربی,5
خوزستان،اهواز،شهرک نفت,5
البرز،کرج،شهرری,5
فارس،شیراز،قدوسی شرقی,5
تهران،تهران،خیام,5
آذربایجان شرقی،تبریز،شمس تبریزی,5
خراسان رضوی،مشهد،فلکه ضد,5
خراسان رضوی،مشهد،قائم,5
البرز،کرج،اتوبان تهران کرج,5
اصفهان،اصفهان،سعادت‌آباد,5
البرز،کرج،سعادت آباد,5
کرمان،کرمان،خیابان هزار و یک شب,5
اصفهان،اصفهان،بیست و چهار متری,5
آذربایجان شرقی،تبریز،نارمک,5
تهران،تهران،نمایشگاه بین المللی تهران,5
اصفهان،اصفهان،فولادشهر,5
اصفهان،اصفهان،ارتش,5
تهران،تهران،زنبیل آباد (شهید صدوقی),5
تهران،تهران،اتحاد(کرج),5
تهران،تهران،میدان ابوذر,5
گیلان،رشت،معلم,5
البرز،کرج،نیاوران,4
تهران،تهران،کاج,4
خوزستان،اهواز،پردیس 1,4
تهران،تهران،فلکه برق,4
کرمان،کرمان،پارک مطهری,4
فارس،شیراز،تاچارا,4
خوزستان،اهواز،سی متری,4
خراسان رضوی،مشهد،گاز شرقی,4
البرز،کرج،ولنجک,4
البرز،کرج،بهشتی(کرج),4
تهران،تهران،نسیم شهر,4
تهران،تهران،مدائن,4
کردستان،سنندج،شهرک سعدی فاز 1,4
خراسان رضوی،مشهد،قرنی,4
بوشهر،بوشهر،سنگی,4
اصفهان،اصفهان،بهارستان,4
تهران،تهران،جی,4
تهران،تهران،قیام,4
تهران،تهران،گلشهر(کرج),4
خراسان رضوی،مشهد،توحید,4
تهران،تهران،آذر یزدی,4
مازندران،آمل،امام خمینی,4
آذربایجان شرقی،تبریز،دانشگاه آزاد تبریز,4
البرز،کرج،کوهستان,4
البرز،کرج،ستارخان,4
تهران،تهران،شیخ صدوق,4
تهران،تهران،باغ فردوس,4
خراسان رضوی،مشهد،شهید بهشتی,4
خراسان رضوی،مشهد،قیطریه,4
اصفهان،اصفهان،مارنان,4
اصفهان،اصفهان،خوراسگان,4
تهران،تهران،کوی کارمندان جنوبی(کرج),4
تهران،تهران،جاده انزلی,4
فارس،شیراز،نواب صفوی,4
البرز،کرج،ذوب آهن(کرج),4
گیلان،رشت،حمیدیان,4
البرز،کرج،انقلاب(کرج),4
آذربایجان شرقی،تبریز،ویلاشهر,4
قم،قم،امامزاده ابراهیم,4
تهران،تهران،چاکسر,4
یزد،یزد،شهید قندی,4
خراسان رضوی،مشهد،مطهری جنوبی,4
البرز،کرج،هاشمی,4
یزد،یزد،آزادشهر,4
کردستان،سنندج،تکیه و چمن,4
خراسان رضوی،مشهد،نوفول لوشاتو,4
البرز،کرج،هشتگرد,4
البرز،کرج،دارآباد,4
گیلان،رشت،چهارراه گلسار,4
آذربایجان شرقی،تبریز،رضانژاد,4
قم،قم،حرم,4
تهران،تهران،همایونشهر,4
البرز،کرج،حسن آباد(کرج),4
کرمان،کرمان،شهرک الغدیر,4
همدان،همدان،خیابان زمانی,4
البرز،کرج،واریان شهر(کرج),4
کرمان،کرمان،بلوار هوانیروز,4
البرز،کرج،سازمان برنامه,4
تهران،تهران،کاوه,4
خراسان رضوی،مشهد،میدان عدل خمینی,4
آذربایجان شرقی،تبریز،ارتش جنوبی,4
تهران،تهران،13 آبان,4
گیلان،رشت،محله لاکان,4
فارس،شیراز،ارم,4
تهران،تهران،مهرویلا(کرج),4
خراسان رضوی،مشهد،کریمخان,4
فارس،شیراز،سفیرشمالی,4
خراسان رضوی،مشهد،فلکه برق,4
اصفهان،اصفهان،کاشانی,4
