,0
البرز،کرج،حصار(کرج),76
فارس،شیراز،نواب صفوی,76
اصفهان،اصفهان،فولادشهر,76
تهران،تهران،ایرانشهر,75
کرمانشاه،کرمانشاه،حافظیه,75
تهران،تهران،اشرفی اصفهانی,75
تهران،تهران،فردیس(کرج),75
تهران،تهران،جردن,74
فارس،شیراز،دروازه کازرون,74
تهران،تهران،طرشت,74
خراسان رضوی،مشهد،فرامرز عباسی,73
تهران،تهران،همت غرب,72
آذربایجان شرقی،تبریز،تله کابین عون ابن علی,72
تهران،تهران،مطهری (منطقه ۷),72
آذربایجان شرقی،تبریز،ابوریحان,72
خراسان رضوی،مشهد،شهید بهشتی,71
همدان،همدان،کوی اندیشه,70
البرز،کرج،شهرک غرب,70
اصفهان،اصفهان،خواجو,70
اصفهان،اصفهان،شاهین‌شهر (حومه),70
آذربایجان شرقی،تبریز،ایستگاه راه آهن,70
فارس،شیراز،بنی هاشم,69
آذربایجان شرقی،تبریز،خیام,68
تهران،تهران،آیت الله غفاری,67
تهران،تهران،کامرانیه,67
تهران،تهران،هشتگرد,66
آذربایجان شرقی،تبریز،باغمیشه,66
آذربایجان شرقی،تبریز،حکم آباد,66
فارس،شیراز،شهرک گلستان,66
تهران،تهران،جماران,65
تهران،تهران،تسلیحات,65
اصفهان،اصفهان،حکیم نظامی,64
خراسان رضوی،مشهد،کوهسنگی,63
تهران،تهران،فرحزاد,63
یزد،یزد،آیت الله کاشانی,63
همدان،همدان،چهار باغ شهید مدنی,63
البرز،کرج،دهقان ویلا(کرج),62
خوزستان،اهواز،کوی فرهنگیان,61
آذربایجان شرقی،تبریز،امامیه,61
تهران،تهران،اتوبان بابایی,60
فارس،شیراز،شهرک فرهنگیان,60
آذربایجان شرقی،تبریز،منبع آب,60
گیلان،رشت،ضیابری,60
تهران،تهران،خواجه نصیر  -  حقوقی,60
آذربایجان شرقی،تبریز،بزرگراه آزادی,59
کردستان،سنندج،شهدا (فرح),59
تهران،تهران،سربداران,59
خراسان رضوی،مشهد،پیروزی,59
تهران،تهران،جمالزاده,58
البرز،کرج،ساسانی(کرج),58
آذربایجان شرقی،تبریز،توانیر شمالی,58
تهران،تهران،هفده شهریور,57
تهران،تهران،ارامنه,57
کرمان،کرمان،بزرگراه امام خمینی,57
اصفهان،اصفهان،مرداویج ( بین میدان ازادی و فرایبورگ),56
تهران،تهران،شاه عباسی(کرج),56
تهران،تهران،وکیل آباد,55
تهران،تهران،خیابان حافظ,55
اصفهان،اصفهان،ارتش,55
خراسان رضوی،مشهد،سناباد,54
کرمان،کرمان،رسالت,54
تهران،تهران،لویزان  -  شیان,53
آذربایجان شرقی،تبریز،نصف راه,53
اصفهان،اصفهان،میر,53
اصفهان،اصفهان،فروغی,52
تهران،تهران،آخر آسفالت,52
تهران،تهران،میدان امام خمینی,52
تهران،تهران،میدان المپیک,51
البرز،کرج،شهریار(کرج),51
البرز،کرج،کوی کارمندان شمالی(کرج),51
گیلان،رشت،گلسار,51
کردستان،سنندج،بهاران 4/19,51
کرمان،کرمان،خیابان شهید رجائی,51
تهران،تهران،سایر,50
لرستان،خرم آباد،کوی انقلاب (منطقه3),50
آذربایجان شرقی،تبریز،کوی فرهنگیان,50
فارس،شیراز،هفت تنان,50
خوزستان،اهواز،کیانپارس غربی,50
تهران،تهران،قلهک,49
البرز،کرج،ملارد,48
تهران،تهران،کاشانک,48
خراسان رضوی،سبزوار،شاهد,48
خراسان رضوی،مشهد،وکیل آباد,48
اصفهان،اصفهان،بزرگمهر,48
خراسان رضوی،مشهد،خیام,48
اصفهان،اصفهان،معراج,48
آذربایجان شرقی،تبریز،کوی طالقانی,47
تهران،تهران،ملاصدرا,47
تهران،تهران،پل شهرستان,46
قم،قم،امام,46
فارس،شیراز،قصردشت,46
تهران،تهران،پروین,46
تهران،تهران،سی متری جی,46
خراسان رضوی،مشهد،گاز شرقی,45
تهران،تهران،شیوا,44
تهران،تهران،مرتضوی,43
آذربایجان شرقی،تبریز،قراملک,43
آذربایجان شرقی،تبریز،کوثر,43
فارس،شیراز،معالی آباد,43
البرز،کرج،کامیون داران(کرج),43
خوزستان،اهواز،رسالت غرب,43
فارس،شیراز،تاچارا,43
اصفهان،اصفهان،خانه اصفهان,42
گیلان،رشت،جاده انزلی,42
کرمان،کرمان،بلوار کوثر,42
فارس،شیراز،دوکوهک,41
آذربایجان شرقی،تبریز،کوچه باغ,41
خراسان رضوی،سبزوار،توحید,41
البرز،کرج،شهرک اندیشه فاز 1(کرج),41
اصفهان،اصفهان،باغ شیخ,40
کردستان،سنندج،خیابان انقلاب,40
تهران،تهران،قنات کوثر,40
گیلان،رشت،خ چمران,40
البرز،کرج،دانشکده(کرج),40
اصفهان،اصفهان،بلوار شفق,39
کرمان،کرمان،شهرک شهید مطهری,39
اصفهان،اصفهان،رهنان,39
گیلان،رشت،استقامت,39
تهران،تهران،حسن آباد(کرج),39
کرمان،کرمان،شهرک بداغ آباد,39
تهران،تهران،فرمانیه,38
فارس،شیراز،محراب,38
فارس،شیراز،باهنر جنوبی,38
البرز،کرج،میدان ولیعصر,38
البرز،کرج،شهرک وحدت(کرج),38
تهران،تهران،وردآورد,37
کردستان،سنندج،حاجی‌آباد,37
تهران،تهران،فولادشهر,37
لرستان،خرم آباد،پشته حسین آباد (منطقه8),37
تهران،تهران،توانیر,37
تهران،تهران،دانشگاه تهران,37
تهران،تهران،بلوار تعاون,37
کردستان،سنندج،کانی کوزله,36
خراسان رضوی،مشهد،میدان خراسان,36
تهران،تهران،هفت حوض,36
گیلان،رشت،میدان انقلاب,36
تهران،تهران،علم و صنعت,36
خوزستان،اهواز،شهرک دانشگاه,35
البرز،کرج،امامزاده ابراهیم,35
اصفهان،اصفهان،اشکاوند,34
قم،قم،آزادگان,34
تهران،تهران،اتوبان همت,34
آذربایجان شرقی،تبریز،مارالان جنوبی,34
همدان،همدان،خیابان جهاد,33
البرز،کرج،بهشتی(کرج),33
تهران،تهران،مطهری (منطقه ۱۵),33
فارس،شیراز،اطلسی,33
آذربایجان شرقی،تبریز،آخر مارالان,33
فارس،شیراز،میدان ولیعصر,33
تهران،تهران،ماهدشت(کرج),33
تهران،تهران،سرحد آباد(کرج),32
خراسان رضوی،مشهد،بلوار ارتش شرق,31
خوزستان،اهواز،حصیرآباد,30
گیلان،رشت،بیستون,29
کرمان،کرمان،بلوارحمزه,29
همدان،همدان،چهار باغ شهید بهشتی,29
کرمان،کرمان،بلوار جهاد,29
فارس،شیراز،جیحون,29
خراسان رضوی،مشهد،کوی مهدی,29
فارس،شیراز،دینکان,29
فارس،شیراز،ادبیات,29
البرز،کرج،صادقیه,29
خوزستان،اهواز،پردیس 3,28
البرز،کرج،شهر قدس(کرج),28
اصفهان،اصفهان،کاشانی,28
گیلان،رشت،اسلام شهر,28
تهران،تهران،خیابان سپاه,27
اصفهان،اصفهان،اشراق,27
فارس،شیراز،پل فسا,27
کرمان،کرمان،خیابان حکیم,27
تهران،تهران،شمس آباد  -  مجیدیه,27
فارس،شیراز،میدان انقلاب,27
خوزستان،اهواز،شهرک پیام,26
سیستان و بلوچستان،زاهدان،البرز,26
آذربایجان شرقی،تبریز،رواسان,26
خراسان رضوی،مشهد،عبدالمطلب,26
آذربایجان شرقی،تبریز،خطیب,26
خراسان رضوی،مشهد،بلوار ایرج میرزا,26
قم،قم،آذر,25
فارس،شیراز،ارتش,25
تهران،تهران،درختی(کرج),24
تهران،تهران،ابوذر (منطقه 17),24
آذربایجان شرقی،تبریز،آزادی,24
خوزستان،اهواز،منازل سازمانی منبع آب,24
